Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft, elevator-cmd-norm, aileron-cmd-norm, rudder-cmd-norm
0, -4.225601607767535e-010, 1.332968704534566e-009, -8.302543856772684e-011, -2.112791704295391e-008, 6.6648461688117e-008, -4.151309982750797e-009, -0.001441168836161349, -0.0006141165530704392, -0.003873266957409388, 0, 0, 0, 1040.83997814,                  0,                  0,                  0,                  0,                  0,                  0, -882.4505399524438, -551.9317742554968, -0.4703116878472979,                 -0,                  0,                  0, 3280.839910347, 3280.8399103396,   6.27109999999863,  22.73900000004315,  176.2299999999988, 0, 0, 46.99999999997, 122, -7563818.422615062,  12104600.51015083,  15306451.04069248, -7563800.768979228,  12104611.54138471,  15306451.04069248, 8.3561482644808e-005, 3280.8399103396, 0, 0, 3280.8399103470147, 0, 0, 0
0.02, -8.451198696289894e-010, 2.665937773054729e-009, -1.660502621453883e-010, -2.112787163683034e-008, 6.664848265860396e-008, -4.151302189351318e-009, -0.001441169258718329, -0.0006141152201005765, -0.003873267040435354, 0.0004433908918, 2719.534463, 0.641067789838, 1040.84057199, -0.2458134170677879, 0.06481321015850426, 0.5885090678543238, -0.2458134170677879, 0.06481321015850426, 0.5885090678543238, -882.2188857344448, -552.3024978978058, -0.9406233756944979, -0.002151069913501919, 6.353348688675764e-007, 0.6410641809262301, 3280.8335204124, 3280.8335204124,  6.271099999978251,  22.73900000020257,  176.2299999999976, 0, 0, 46.99999999985, 122,   -7563836.0739424,  12104589.47522258,  15306451.03598936,  -7563800.76668683,  12104611.53771609,  15306451.03598936, 0.00016712296528962, 3280.8335204124, 0, 0, 3280.8335204124451, 0, 0, 0
0.04, -6.758492753806271e-005, 0.01102381228966559, 5.314480647232289e-009, -0.002252312974182226, 0.3674603460522796, -4.038023076875285e-009, -0.001508753341131972, 0.01040969440362857, -0.003873261559906347, 0.001773563906, 5439.069776, 1.28213557968, 1040.84155222, -0.4916267570790986, 0.1296251635107704,  1.177018306306972, -0.4916267570790986, 0.1296251635107704,  1.177018306306972, -881.9872345219156, -552.6731985624504, -1.410873147853708, -0.004302139834978236, 2.541339887363048e-006,  1.282128361850391, 3280.814309191, 3280.814309191,  6.271099999941694,  22.73900000050623,  176.2299999999947, 112.66972230419, 5.802573312303, 46.999999999612, 122, -7563853.720636657,  12104578.43287986,  15306451.02188001, -7563800.759777484,  12104611.52665871,  15306451.02188001, 0.00025068444793442, 3280.814309191, 0, 0, 3280.8143091909587, 0, 0, 0
0.06, -0.03607909192878041, -0.1511490148760338, -0.007190393662976625, -1.201142647227194, -5.283272627532627, -0.239670508708753, -0.03752023798565795, -0.1517631326249899, -0.01106366887756542, 0.003990273142, 8158.355031, 1.92314362211, 1040.8429736, -0.7374421783894325, 0.1944358601068149,  1.765461730280803, -0.7374421783894325, 0.1944358601068149,  1.765461730280803, -881.7559169218908, -553.0434542025657, -1.880541420186085, -0.006437382849050155, -2.145340558923348e-006,  1.923132848091314, 3280.7822772823, 3280.7822772786,  6.271113112678357,  22.73932873642041,  176.2300391696604, 112.67053738605, 5.8026977496717, 46.999999999258, 122, -7563871.362697859,  12104567.38312289,  15306450.99836505, -7563800.748251247,  12104611.50821278,  15306450.99836505, 0.00033424593057923, 3280.7822772786, 0, 0, 3280.7822772823274, 0, 0, 0
0.08, -0.103010538432302, -0.4513526089519312, -0.02053770998843115, -2.631447615628406, -11.76787354213738, -0.524791370136633, -0.1044519961618084, -0.451966659004228, -0.02441087995653439, 0.007089161971, 10874.23889, 2.56334845982, 1040.84490039, -0.9829497007217011, 0.2591180282600478,  2.353172977009442, -0.9829497007217011, 0.2591180282600478,  2.353172977009442, -881.5253470469052, -553.4127316578433, -2.348963324291825, -0.008358085740036492, -3.055370942095514e-005,  2.563334833359655, 3280.737433318, 3280.737433318,  6.269728967501751,  22.73473537496937,   176.229256634639, 112.6709022656, 5.8016968076343, 46.999999998787, 122, -7563889.000129374,  12104556.32595637,   15306450.9654509, -7563800.732111516,  12104611.48238297,   15306450.9654509, 0.00041780741322404, 3280.737433318, 0, 0, 3280.7374333180487, 0, 0, 0
0.1, -0.2125877176755654, -0.9558095613849512, -0.04237842615222991, -4.529764822638217, -20.73784847512172, -0.9029144952217934, -0.214029982705805, -0.9564234406250722, -0.0462513226542801, 0.01106038389, 13582.71864, 3.2018059506, 1040.84735362, -1.227484595117418,  0.323452727034046,  2.939425326049337, -1.227484595117418,  0.323452727034046,  2.939425326049337, -881.2957782674074, -553.7806758187877, -2.815642612294749, -0.010087291779876, -2.320657445081809e-005,  3.201790060466581, 3280.6798028015, 3280.6798028015,  6.266222683643477,  22.72283761292119,  176.2272462167149, 112.66509290045, 5.7980227627865, 46.999999998198, 122.00000000001, -7563906.632942013,  12104545.26139451,  15306450.92315585, -7563800.711369141,  12104611.44918349,  15306450.92315585, 0.00050136889586885, 3280.6798028015, 0, 0, 3280.67980280146, 0, 0, 0
0.12, -0.370894137033439, -1.708865596452635, -0.07391831954973771, -6.786887767232068, -32.01447035908157, -1.352187684437021, -0.3723380236712508, -1.709479141102379, -0.07779066480738388, 0.01589125961, 16280.99722, 3.83785616176, 1040.85037247, -1.470509706267682, 0.3872713312206202,  3.523742618034219, -1.470509706267682, 0.3872713312206202,  3.523742618034219, -881.0675412600078, -554.1468462247661, -3.280004532723936, -0.01137534321603395, -2.427297128854145e-005,  3.837839303480676, 3280.6094272844, 3280.6094272807,   6.25932857263957,  22.69893732788857,  176.2232403405236, 112.65149626337, 5.7914736706132, 46.999999997489, 122.00000000004, -7563924.261153267,  12104534.18946043,  15306450.87150979, -7563800.686041639,  12104611.40863743,  15306450.87150979, 0.00058493037851366, 3280.6094272807, 0, 0, 3280.6094272844493, 0, 0, 0
0.14, -0.5814896422669229, -2.750116510151458, -0.1158694689119645, -9.282304910035876, -45.37983240950248, -1.848814330261265, -0.5829363281913751,  -2.75072949179454, -0.1197408584294029, 0.02156422184, 18965.70651, 4.47070455838, 1040.85399329, -1.711144713213401, 0.4503188632733572,  4.105654142781674, -1.711144713213401, 0.4503188632733572,  4.105654142781674, -880.8409624769728, -554.5108073652643, -3.741482291785417, -0.01202895486425626, -4.585490169994877e-005,  4.470688375458582, 3280.5263628624, 3280.5263628624,  6.247684129184599,  22.65767302166808,  176.2163839947859, 112.62528090232, 5.7810127760968, 46.999999996658, 122.0000000001, -7563941.884786462,  12104523.11018521,  15306450.81055332,  -7563800.65615237,  12104611.36077585,  15306450.81055332, 0.00066849186115846, 3280.5263628624, 0, 0, 3280.526362862438, 0, 0, 0
0.16, -0.8452084697013229, -4.113321494091307, -0.1684206187269458, -11.88500845439865, -60.56674558952453, -2.367340185735872, -0.8466595454875223, -4.113933617022956, -0.1722905009000554, 0.02805753448, 21633.52172, 5.09956683992, 1040.85824937, -1.948269916395583, 0.5122949301436515,  4.684803111366049, -1.948269916395583, 0.5122949301436515,  4.684803111366049, -880.6163628499352, -554.8721301357407,  -4.19952006188749, -0.01182224460441517, -0.0001053054844256662,   5.09955313515716, 3280.4306814149, 3280.4306814149,  6.229851692483608,  22.59294301716702,  176.2057349841659, 112.58096945192, 5.7655746185398, 46.999999995703, 122.00000000021,   -7563959.5038715,  12104512.02360868,  15306450.74033845, -7563800.621731268,  12104611.30563855,  15306450.74033845, 0.00075205334380327, 3280.4306814149, 0, 0, 3280.4306814149022, 0, 0, 0
0.18, -1.160239409479152, -5.825415606837793, -0.2312653731458036, -14.46316667288835, -77.25867608995459, -2.882679177806488, -1.161696919037463, -5.826026509121783, -0.2351330297672404, 0.03534546647, 24281.17636, 5.72367245906, 1040.86317045, -2.180490078800171, 0.5728537507314082,  5.260962650996637, -2.180490078800171, 0.5728537507314082,  5.260962650996637, -880.3940560027578, -555.2303936061159, -4.653576318964419, -0.01051415130031708, -0.0002187767834792576,  5.723662797843155, 3280.3224703819, 3280.3224703819,  6.204391851561361,  22.49803025335321,  176.1902987628645, 112.51234373638, 5.7440651006291, 46.999999994621, 122.00000000039, -7563977.118444753,   12104500.9297793,  15306450.66092843, -7563800.582814736,  12104611.24327399,  15306450.66092843, 0.00083561482644808, 3280.3224703819, 0, 0, 3280.322470381856, 0, 0, 0
