Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft, elevator-cmd-norm, aileron-cmd-norm, rudder-cmd-norm
0, -4.225601607767535e-010, 1.332968704534566e-009, -8.302543856772684e-011, -2.112791704295391e-008, 6.6648461688117e-008, -4.151309982750797e-009, -0.001441168836161349, -0.0006141165530704392, -0.003873266957409388, 0, 0, 0, 1040.83997814,                  0,                  0,                  0,                  0,                  0,                  0, -882.4505399524438, -551.9317742554968, -0.4703116878472979,                 -0,                  0,                  0, 3280.839910347, 3280.8399103396,   6.27109999999863,  22.73900000004315,  176.2299999999988, 0, 0, 46.99999999997, 122, -7563818.422615062,  12104600.51015083,  15306451.04069248, -7563800.768979228,  12104611.54138471,  15306451.04069248, 8.3561482644808e-005, 3280.8399103396, 0, 0, 3280.8399103470147, 0, 0, 0
0.02, -8.451198696289894e-010, 2.665937773054729e-009, -1.660502621453883e-010, -2.112787163683034e-008, 6.664848265860396e-008, -4.151302189351318e-009, -0.001441169258718329, -0.0006141152201005765, -0.003873267040435354, 0.0004433908918, 2719.534463, 0.641067789838, 1040.84057199, -0.2458134170677879, 0.06481321015850426, 0.5885090678543238, -0.2458134170677879, 0.06481321015850426, 0.5885090678543238, -882.2188857344448, -552.3024978978058, -0.9406233756944979, -0.002151069913501919, 6.353348688675764e-007, 0.6410641809262301, 3280.8335204124, 3280.8335204124,  6.271099999978251,  22.73900000020257,  176.2299999999976, 0, 0, 46.99999999985, 122,   -7563836.0739424,  12104589.47522258,  15306451.03598936,  -7563800.76668683,  12104611.53771609,  15306451.03598936, 0.00016712296528962, 3280.8335204124, 0, 0, 3280.8335204124451, 0.000192621516, 0.00010922270400000001, 0
0.04, 3.047642506687291e-005, 0.01101362182150331, 1.896924491859134e-006, 0.001016398306533421, 0.3671206593925434, 6.30505006019689e-005, -0.001410691988527036, 0.01039950393546628, -0.003871369949895135, 0.001773563906, 5439.069776, 1.28213557968, 1040.84155223, -0.4916267570790986, 0.1296251635107704,  1.177018306306972, -0.4916267570790986, 0.1296251635107704,  1.177018306306972, -881.9872345235069, -552.6731985700034, -1.410873153965323, -0.004302139834978236, 2.541339887363048e-006,  1.282128361850391, 3280.814309191, 3280.814309191,  6.271099999941694,  22.73900000050623,  176.2299999999947, 112.66972230419, 5.802573312303, 46.999999999612, 122, -7563853.720636657,  12104578.43287986,  15306451.02188001, -7563800.759777484,  12104611.52665871,  15306451.02188001, 0.00025068444793442, 3280.814309191, 0, 0, 3280.8143091909587, 0.00038524303199999999, 0.00021844540800000002, 0
0.06, -0.0354293430796043, -0.4963856195414498, -0.007178837963468747, -1.181679032524337, -16.79093301271124, -0.2393221342714717, -0.03687048915775669, -0.4969997374878509, -0.01105211313883617, 0.003990273176, 8158.355066, 1.92314363037, 1040.84297364, -0.737442181166543, 0.1944358556564458,  1.765461738612302, -0.737442181166543, 0.1944358556564458,  1.765461738612302, -881.7559169285817, -553.0434542519935, -1.880541384458299, -0.006437366556610868, -2.049378634016996e-006,  1.923132856409285, 3280.7822772823, 3280.7822772786,  6.271116064168194,  22.73932842633729,  176.2300391946236, 112.67053736663, 5.8026975913814, 46.999999999258, 122, -7563871.362697859,  12104567.38312289,  15306450.99836505, -7563800.748251247,  12104611.50821278,  15306450.99836505, 0.00033424593057923, 3280.7822772786, 0, 0, 3280.7822772823274, 0.00057786454799999996, 0.00032766811200000002, 0
0.08, -0.1008320733424431, -1.454257086216496, -0.02040084633803134, -2.574045589808709, -37.52602283429093, -0.5204694301717689, -0.1022742312005375, -1.454871137713678, -0.02427375544174661, 0.00708916197, 10874.23889, 2.56334845968, 1040.84490051, -0.9829497342415628, 0.2591181129059969,  2.353172953539864, -0.9829497342415628, 0.2591181129059969,  2.353172953539864, -881.5253470675639, -553.4127318444815, -2.348963096762462, -0.007899679313100538, -7.940989701199497e-005,  2.563336285880936, 3280.737433318, 3280.737433318,  6.269276741579021,   22.7244399869735,  176.2280306312153, 112.67090316374, 5.8016987096826, 46.999999998787, 122, -7563889.000129374,  12104556.32595637,   15306450.9654509, -7563800.732111516,  12104611.48238297,   15306450.9654509, 0.00041780741322404, 3280.737433318, 0, 0, 3280.7374333180487, 0.00077048606399999998, 0.00043689081600000005, 0
0.1, -0.2072495691420186, -3.063327316688667, -0.04186231837094674, -4.405405531456502, -66.14434097018638, -0.8887381207037771, -0.2086943343760541, -3.063941201295631, -0.0457342820281047, 0.01106038342, 13582.71836, 3.2018058838, 1040.84735401, -1.226953425906534, 0.3234536850718011,  2.939646904273676, -1.226953425906534, 0.3234536850718011,  2.939646904273676, -881.2957785921468, -553.7806760216388, -2.815642317918532, -0.008614640586446454, -0.0001795173019587537,  3.201794289656538, 3280.6798028052, 3280.6798028052,  6.264615432469392,  22.68606615622574,  176.2228733610603, 112.6547408846, 5.7980401162476, 46.999999998198, 122.00000000001, -7563906.632942013,   12104545.2613945,  15306450.92315586, -7563800.711369141,  12104611.44918349,  15306450.92315586, 0.00050136889586885, 3280.6798028052, 0, 0, 3280.6798028051853, 0.00096310758000000001, 0.00054611352000000007, 0
0.12, -0.3600291200567083, -5.465173487820667, -0.07255652271803054, -6.561407506038919, -102.1096391133754, -1.318984981930494, -0.3614791004304543, -5.465787047059994, -0.07642658801852413, 0.01589125782, 16280.9963, 3.8378559458, 1040.85037357, -1.468234411522032, 0.3872759455639487,  3.524690527624162, -1.468234411522032, 0.3872759455639487,  3.524690527624162, -881.0675430059464, -554.1468455039524, -3.280005308538796, -0.007850070396491216, -0.0003970759510251165,  3.837847896860797, 3280.6094272919, 3280.6094272919,  6.255450598210635,  22.60928487234619,  176.2126005165709, 112.61450941156, 5.7915432390976, 46.999999997489, 122.00000000004, -7563924.261153271,  12104534.18946043,   15306450.8715098, -7563800.686041643,  12104611.40863743,   15306450.8715098, 0.00058493037851366, 3280.6094272919, 0, 0, 3280.6094272918999, 0.0011557290959999999, 0.00065533622400000004, 0
0.14, -0.5619632945097489, -8.785572747144197, -0.1129494457346066, -8.918819217176747, -144.7164998691652, -1.785082082785737, -0.5634222575191789,  -8.78618576170526, -0.116816220041382, 0.02156421727, 18965.70449, 4.47070408375, 1040.85399606, -1.704678077587177, 0.4503340206021882,  4.108341140425173, -1.704678077587177, 0.4503340206021882,  4.108341140425173, -880.8409685325764, -554.5108028967281, -3.741487625887986, -0.00495844201971174, -0.0007910215873830895,  4.470701264070956, 3280.5263628736, 3280.5263628736,  6.239974177353155,   22.4769461368085,  176.1949989035688, 112.53507715047, 5.7812086386973, 46.999999996658, 122.0000000001, -7563941.884786487,  12104523.11018521,  15306450.81055333, -7563800.656152395,  12104611.36077585,  15306450.81055333, 0.00066849186115846, 3280.5263628736, 0, 0, 3280.5263628736138, 0.0013483506120000001, 0.00076455892800000012, 0
0.16, -0.8131411265305593, -13.13056808237589, -0.1629848272791643, -11.34650114912861, -193.0719786923869, -2.260660319966391, -0.8146141508652588, -13.13118027088238, -0.1668463979435968, 0.02805752523, 21633.51815, 5.099565999, 1040.85825565, -1.933386207171003, 0.5123345668025868,   4.69095986379566, -1.933386207171003, 0.5123345668025868,   4.69095986379566, -880.6163794626451, -554.8721153987409, -4.199538083854408, 0.0008052617227825021, -0.001432104233234699,  5.099565734333924, 3280.430681441, 3280.430681441,  6.216296599010132,  22.26955271857688,  176.1676264663069, 112.39908201149, 5.7660231715969, 46.999999995703, 122.00000000021, -7563959.503871602,  12104512.02360873,   15306450.7403384, -7563800.621731371,   12104611.3056386,   15306450.7403384, 0.00075205334380327, 3280.430681441, 0, 0, 3280.4306814409792, 0.001540972128, 0.00087378163200000009, 0
0.18, -1.111077771933059, -18.58271035824745, -0.2221566830245155, -13.71500150321952, -246.0953570411898, -2.721642382652932, -1.112571363193199,  -18.5833213800146, -0.2260105305827614, 0.03534545106, 24281.17107, 5.72367121174, 1040.86318349, -2.150558420604989, 0.5729424862437313,  5.273257771728892, -2.150558420604989, 0.5729424862437313,  5.273257771728892, -880.3940949464484, -555.2303559040012, -4.653622955906828, 0.01022998139102338, -0.002392777492532527,  5.723661569500237, 3280.3224704266, 3280.3224704266,  6.182570145790563,   21.9656874367623,  176.1279146650433, 112.18678926577, 5.744959110785, 46.99999999462, 122.00000000039, -7563977.118445082,  12104500.92977954,  15306450.66092814, -7563800.582815065,  12104611.24327424,  15306450.66092814, 0.00083561482644808, 3280.3224704266, 0, 0, 3280.3224704265594, 0.0017335936439999999, 0.00098300433599999995, 0
0.2, -1.450979987268373, -25.19739824184169, -0.2896094884286644, -15.90426907555988, -302.5213232268472, -3.148053048643576, -1.452502149871471, -25.19800770345716, -0.2934523885058836, 0.04339849313, 26905.47318, 6.34226722142, 1040.8688074, -2.351422093767812,  0.631787264309738,  5.856279748905831, -2.351422093767812,  0.631787264309738,  5.856279748905831, -880.1744280546984, -555.5851037079743, -5.103230099965293, 0.02411143826540796, -0.00374141141827633,  6.342220285375878, 3280.2018325031, 3280.2018325031,  6.137123437948217,  21.54251280703032,  176.0732887225435, 111.87652021211, 5.717021922727, 46.999999993405, 122.00000000067, -7563994.728549826,  12104489.82875483,  15306450.57239653, -7563800.539446409,   12104611.1737399,  15306450.57239653, 0.00091917630909289, 3280.2018325031, 0, 0, 3280.2018325030804, 0.0019262151599999996, 0.0010922270399999999, 0
0.22, -1.826128679821974, -32.99944636893667, -0.3642530409622868, -17.81011087950387, -360.9086407525296, -3.525181177432215, -1.827688936461223, -33.00005383439557, -0.3680809501031118, 0.05218363956, 29503.32665, 6.95462328636, 1040.87515151, -2.530193159639039, 0.6884722270840152,  6.441344085100496, -2.530193159639039, 0.6884722270840152,  6.441344085100496, -879.9576847983427, -555.9359451354605, -5.547872905411586, 0.04321034597393725, -0.005536590679790732,  6.954486844287923, 3280.0688851811, 3280.0688851811,  6.078602383387481,  20.97634220926495,  176.0013012159366, 111.44515583543, 5.6812952193377, 46.999999992052, 122.00000000107, -7564012.334235056,  12104478.72060023,    15306450.474828, -7563800.491674656,  12104611.09710123,    15306450.474828, 0.0010027377917377, 3280.0688851811, 0, 0, 3280.0688851810992, 0.0021188366759999997, 0.0012014497439999999, 0
0.24, -2.228338835799002, -41.98001308074665,   -0.4448759257714, -19.34891153088716, -419.6550232052317, -3.843995610044189, -2.229948185595892, -41.98061808469702, -0.4486838473706162, 0.06166466476, 32071.74118, 7.56003404382, 1040.88223581, -2.680071526000087, 0.7425861409225644,  7.029928675498302, -2.680071526000087, 0.7425861409225644,  7.029928675498302, -879.7441630735368, -556.2824741662697, -5.987093935275015, 0.0682074762214131, -0.007821888270236888,  7.559722303233856, 3279.9237603284, 3279.9237603284,  6.006108287362357,  20.24327730358992,  175.9097702622275, 110.8687160272, 5.636980914907, 46.999999990553, 122.00000000163, -7564029.935556185,  12104467.60538975,  15306450.36831697, -7563800.439555245,  12104611.01343218,  15306450.36831697, 0.0010862992743825, 3279.9237603284, 0, 0, 3279.9237603284419, 0.0023114581919999998, 0.0013106724479999999, 0
0.26, -2.648456616623138, -52.09405178066281, -0.5302438484149299,  -20.4604399736345, -477.0195460598688, -4.100845827165502, -2.650127423188315, -52.09465384419293, -0.5340256771236321, 0.0718024573, 34607.84851, 8.15782293411, 1040.89007574,  -2.79327532360564,  0.793716337666017,   7.62349672828862,  -2.79327532360564,  0.793716337666017,   7.62349672828862, -879.5341514836038, -556.6242931594902, -6.420468113017499, 0.09965699325932942, -0.01062121023431217,  8.157207285459718, 3279.7666036561, 3279.7666036561,  5.919321518666451,    19.319903960612,   175.796910272218, 110.12300720176, 5.5834324314208, 46.999999988897, 122.00000000237, -7564047.532574663,  12104456.48320555,   15306450.2529673,  -7563800.38314966,  12104610.92281494,   15306450.2529673, 0.0011698607570273, 3279.7666036561, 0, 0, 3279.7666036561131, 0.0025040797079999995, 0.0014198951519999998, 0
0.28, -3.076855811257365, -63.25846903648409, -0.6191729586468341, -21.10876759586069, -531.1536748113964,  -4.29657021191762, -3.078601612439355,  -63.2590676847982, -0.622921305200112, 0.08255537423, 37108.916, 8.74734539471, 1040.89868168, -2.861120053117854, 0.8414626449027151,  8.223258728343309, -2.861120053117854, 0.8414626449027151,  8.223258728343309, -879.3279279965228, -556.9610137791046, -6.847605302445653, 0.1379398818468856, -0.01393478911702695,  8.746246615837135, 3279.5975740813, 3279.5975740813,  5.818597743995971,  18.18403546222953,  175.6614410393457, 109.18432928328, 5.5201806492629, 46.99999998707, 122.00000000334, -7564065.125357809,  12104445.35413788,  15306450.12889168, -7563800.322525244,  12104610.82533971,  15306450.12889168, 0.0012534222396721, 3279.5975740813, 0, 0, 3279.5975740812719, 0.0026967012239999997, 0.0015291178559999998, 0
0.3, -3.503901830480666, -75.35118406669291, -0.7105731687107809, -21.28150516431791,  -580.141653188925, -4.435203344678705, -3.505737062891771,   -75.351778847972, -0.7142791720407531, 0.09387961638, 39572.35903, 9.32799178827, 1040.90805847, -2.874151138777086, 0.8854515605818127,  8.829873247529774, -2.874151138777086, 0.8854515605818127,  8.829873247529774, -879.1257584052779, -557.2922582171567, -7.268152135732148, 0.1832196043005268, -0.01773588646752144,  9.326175358475927, 3279.4168430902, 3279.4168430865,  5.705024369089846,  16.81548784302926,  175.5026608435794, 108.03022957537, 5.4469533897752, 46.999999985053, 122.00000000457, -7564082.713978604,  12104434.21828481,  15306449.99621094,  -7563800.25775501,  12104610.72110456,  15306449.99621094, 0.0013369837223169, 3279.4168430865, 0, 0, 3279.4168430902064, 0.0028893227399999998, 0.00163834056, 0
