Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft, elevator-cmd-norm, aileron-cmd-norm, rudder-cmd-norm
0, -1.251608560638384,  17.38314362217603, 7.589243492480873e-005, -41.71967371806567,  913.0367172958153, -0.001096874145641641, -1.250930368267118,  17.38505612488836, -0.003576324965146424, 1.20758833, 141925.5666, 33.4556926992, 1008.74572656,  33.45569269919061, -1.598721155460225e-014, -1.332267629550188e-014,  33.45569269919061, -1.598721155460225e-014, -1.332267629550188e-014, -851.3444948331272, -541.0662548495145,  5.272555151287327,   9.14925595555604, -32.16131692017045,  1.106428219034401, 3280.8177811578, 3280.8177811615,  14.02700000002933, -1.895200000007881,  285.8799999999891, -2.2816240285759e-014, -2.7379488342911e-014, 47.000000500918, 121.999997418, -7563817.798213414,  12104600.72471882,  15306451.14930422, -7563800.144577268,  12104611.75595179,  15306451.14930422, 8.3561482644808e-005, 3280.8177811615, 0, 31.87139248778303, 3280.8177811577916, 0, 0, 0
0.02, -0.9859607469760544,  32.12149897147866, 0.2655623801763801, -4.971919684373253,  795.6297752441425,  8.446460947781308, -0.9852493472899139,  32.12341386516488, 0.2619177408099209, 1.208328401, 141969.0792, 33.4659317226, 1008.77098538,  33.46454878697278, 0.1533770520759252, 0.2627470738301438,  33.46454878697278, 0.1533770520759252, 0.2627470738301438,  -851.226875317754, -541.2998700308283,  5.114527449444635,   9.30495497275966, -32.12739067125449,    1.1032532221098, 3280.7927498296, 3280.7927498296,  13.98583272119429, -1.389211559160977,  286.0062674295635, 0.44984885858557, 0.26259207708672, 47.000001004043, 121.99999483697, -7563834.826279477,  12104589.90572976,  15306451.25633565, -7563799.519022652,  12104611.96821962,  15306451.25633565, 0.00016712296528962, 3280.7927498296, 0, 31.879839958257246, 3280.7927498295903, 2.5273064000000002e-005, -0.00022497992, 0
0.04, -2.105593785910159,  43.66849380260291, 0.2340234320521803, -39.09439535089992,  650.1005796958256,  2.457781665547457, -2.104831952578807,  43.67040967768385, 0.2303895173443208, 1.209268395, 142024.3231, 33.4789337296, 1008.79741656,  33.46723336942537, 0.3063231698447821, 0.8303375120106544,  33.46723336942537, 0.3063231698447821, 0.8303375120106544, -851.1144847114695, -541.5271793867861,  4.967450634132472,   9.42953541734432, -32.09943828797348,  1.244558990746016, 3280.7618740425, 3280.7618740387,   13.9652809483517, -0.6247037377653453,  286.2047698970881, 1.4212431718572, 0.52424816866198, 47.000001511638, 121.99999225787, -7563851.851993179,  12104579.08206851,  15306451.36020647, -7563798.891131166,  12104612.17583918,  15306451.36020647, 0.00025068444793442, 3280.7618740387, 0, 31.882409413961273, 3280.7618740424514, 5.0546128000000004e-005, -0.00044995984, 0
0.06, -2.495621716036795,   54.1737579094759, 0.4877270322731637, -25.87048611149839,  566.8859835098576,  8.915775896388626, -2.494797151841687,  54.17567709800193,  0.484108591622249, 1.210306038, 142085.2853, 33.493278885, 1008.82670305,  33.45473761213683, 0.4529504945416369,  1.541135173099024,  33.45473761213683, 0.4529504945416369,  1.541135173099024, -851.0171240645494,  -541.735719867694,  4.856042909220922,  9.540903996324122,  -32.0746526332124,  1.409801355113502, 3280.7252892107, 3280.7252892107,  13.91135215164607, 0.3339690081496873,  286.4472113925953, 2.6375385333393, 0.77487017254114, 47.000002023747, 121.99998968075, -7563868.875406779,  12104568.25379801,  15306451.46102625, -7563798.260955088,  12104612.37887339,  15306451.46102625, 0.00033424593057923, 3280.7252892107, 0, 31.870519794207407, 3280.7252892106771, 7.5819192000000006e-005, -0.00067493976000000005, 0
0.08, -3.303204616619583,  63.82231898570728,  0.618252727931863, -35.60264868634212,  510.5746101769844,  7.636423269360078, -3.302304781842648,  63.82424137876104, 0.6146539773465051, 1.211270723, 142141.9484, 33.5066059517, 1008.85960899,  33.42048553844645, 0.5970196098498168,  2.325372305601383,  33.42048553844645, 0.5970196098498168,  2.325372305601383, -850.9408735502057,  -541.917258910879,  4.798423033118171,    9.6647696710159, -32.04578118551465,  1.533876727784297, 3280.6835545301, 3280.6835545264,  13.86225740681907,  1.484830422709684,  286.7444085532044, 3.9801825671977, 1.0209483535702, 47.000002540598, 121.99998710576, -7563885.896722867,  12104557.42116902,  15306451.55926119, -7563797.628697024,  12104612.57757299,  15306451.55926119, 0.00041780741322404, 3280.6835545264, 0, 31.837906269743925, 3280.6835545301437, 0.00010109225600000001, -0.00089991967999999999, 0
0.1, -3.887426550934911,  72.40720874812709,  0.859785222601736, -31.24376623791707,  456.3610241154329,  10.49110759182603, -3.886440317436084,  72.40913555737775,    0.8562115615865, 1.212044299, 142187.3866, 33.517282789, 1008.89660704,  33.35978761612675, 0.7324409273653063,    3.1616998675302,  33.35978761612675, 0.7324409273653063,    3.1616998675302, -850.8879149949023, -542.0692580311071,  4.799927736361335,  9.795380493150883, -32.01388733726184,   1.60305461822401, 3280.6377195865, 3280.6377195902,  13.80092528716452,  2.814716889512078,  287.0861505351789, 5.4140802346284, 1.2521633958879, 47.000003062702, 121.99998453316, -7563902.916302843,  12104546.58463923,  15306451.65580585, -7563796.994718391,   12104612.7723957,  15306451.65580585, 0.00050136889586885, 3280.6377195902, 0, 31.780100953398616, 3280.6377195864916, 0.00012636532, -0.0011248995999999999, 0
0.12,  -4.56926966894429,  79.64294480678035,   1.07207468527804, -33.13476530729963,  393.3099184962778,  10.72495552570205, -4.568187496335912,  79.64487645444115,  1.068531530862174, 1.212522441, 142215.4915, 33.5238703074, 1008.93937857,  33.26909776478291, 0.8616115096871573,  4.034183921006822,  33.26909776478291, 0.8616115096871573,  4.034183921006822, -850.8592261686144, -542.1933712869637,  4.857468629826467,  9.937178150454196,  -31.9763463650334,  1.617295252688662, 3280.5890976526, 3280.5890976563,  13.74121066889847,  4.300012829364984,  287.4710805548228, 6.9138850232891, 1.4727458143568, 47.000003590735, 121.99998196326, -7563919.934590728,  12104535.74477406,  15306451.75178935, -7563796.359463222,   12104612.9639069,  15306451.75178935, 0.00058493037851366, 3280.5890976563, 0, 31.693725046279258, 3280.5890976525843, 0.00015163838400000001, -0.0013498795200000001, 0
0.14, -5.191665376496249,  87.14598410768373,   1.31959286495691, -31.75263968093437,  381.2077563094361,  11.77069860093699, -5.190479946410886,  87.14792133222062,  1.316085983142413, 1.212536006, 142216.3523, 33.524033437, 1008.99297155,  33.14488588471403, 0.9820652981118117,  4.930811832378886,  33.14488588471403, 0.9820652981118117,  4.930811832378886, -850.8626032384138, -542.2866890673735,  4.979349145791439,  10.08505877896143, -31.93193652951176,  1.582351663481795, 3280.5390349887, 3280.5390349887,  13.68030366686018,  5.912289176535984,  287.8903263969626, 8.4615716774059, 1.6786836779231, 47.000004125368, 121.99997939645, -7563936.952062139,  12104524.90214777,  15306451.84836332,  -7563795.72340714,  12104613.15268086,  15306451.84836332, 0.00066849186115846, 3280.5390349887, 0, 31.575414842839439, 3280.5390349887311, 0.00017691144800000003, -0.0015748594400000003, 0
0.16, -5.818830023672263,  93.67056485841776,  1.561961201284941, -31.46411034080359,  344.5557261673449,  12.06809375567181, -5.817533013618728,   93.6725081542001,  1.558497436010292, 1.211691428, 142166.8815, 33.5123309259, 1009.0615951,  32.98463579056575,  1.094050631119177,  5.821784869473184,  32.98463579056575,  1.094050631119177,  5.821784869473184, -850.9036759076508,  -542.348149134559,   5.16934897478132,   10.2478640046655, -31.87363546252283,  1.459098978903679, 3280.4889549688, 3280.4889549725,  13.62467688401414,  7.672187023517923,  288.3506948954587, 10.009608429615, 1.8708225283584, 47.000004667254, 121.99997683342, -7563953.969280433,  12104514.05734717,   15306451.9467315, -7563795.087113507,   12104613.3393044,   15306451.9467315, 0.00075205334380327, 3280.4889549725, 0, 31.422772552000549, 3280.4889549687505, 0.00020218451200000002, -0.00179983936, 0
0.18, -6.414386454882135,  98.65614053228505,  1.812157318495761, -30.28824334984889,  281.0396485932523,  12.44347474785828, -6.412971927694995,  98.65809039461237,  1.808743603042499, 1.209699228, 142050.029, 33.4847448937, 1009.14681394,  32.78336516022394,  1.196624468892783,  6.711721034630506,  32.78336516022394,  1.196624468892783,  6.711721034630506, -850.9798103833671, -542.3848836595665,  5.412243794736773,  10.41698052432101, -31.79772724648807,  1.272477626014338, 3280.4404408187, 3280.4404408187,  13.57599180515433,  9.548737797872882,  288.8448574308591, 11.570250433943, 2.0479813585862, 47.000005217062, 121.99997427518, -7563970.986943224,  12104503.21099879,  15306452.04821848, -7563794.451279937,  12104613.52440406,  15306452.04821848, 0.00083561482644808, 3280.4404408187, 0, 31.23105093554333, 3280.4404408186674, 0.000227457576, -0.0020248192799999999, 0
