Time, Aileron Command (norm), Elevator Command (norm), Rudder Command (norm), Flap Command (norm), Left Aileron Position (deg), Right Aileron Position (deg), Elevator Position (deg), Rudder Position (deg), Flap Position (deg), P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Rho (slugs/ft^3), Absolute Viscosity, Kinematic Viscosity, Temperature (R), P_{SL} (psf), P_{Ambient} (psf), Turbulence Magnitude (ft/sec), Turbulence X Direction (rad), Turbulence Y Direction (rad), Turbulence Z Direction (rad), Wind V_{North} (ft/s), Wind V_{East} (ft/s), Wind V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), Pitch Trim Sum, Elevator Control, elevator normalization, Roll Trim Sum, Left Aileron Control, left aileron normalization, Right Aileron Control, right aileron normalization, Rudder Command Sum, Rudder Control, rudder normalization, electric_1mw HP (engine 0), Fixed-Pitch 16-inch Two-Blade Propeller Torque (engine 0), Fixed-Pitch 16-inch Two-Blade Propeller PFactor Pitch (engine 0), Fixed-Pitch 16-inch Two-Blade Propeller PFactor Yaw (engine 0), Fixed-Pitch 16-inch Two-Blade Propeller Thrust (engine 0 in lbs), Fixed-Pitch 16-inch Two-Blade Propeller RPM (engine 0), throttle-cmd-norm
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.544816858499483,  21.04131333157991, 0.3387121758032805, -84.82646587176438,  1111.534865732456,  11.29108114626874, -2.542036269180008,  21.04131333157991, 0.3355937424640962, 5.118390162, 470375.4858, 67.5761650476, 1017.85691788,  67.57616504758474, 1.315465797064464e-014, 2.131628207280301e-014,  67.57616504758474, 1.315465797064464e-014, 2.131628207280301e-014,  790.9598495462971,  639.1010308630107,  44.32938111960991,  67.57616504762075, 7.440591478788785e-012, 3.571427655989329e-011, 0.002241693847, 3.697149821e-007, 0.0001649266168, 511.53768, 2116.22, 1967.755853, 0,                  0,                  0,                  0,                  0,                  0,                  0, 2000.0000099018, 2000.0000099018, -2.009414081523316e-012, -3.026456807146598e-011, 6.302315852596279e-012, 1.8073428653756e-014, 1.1153435270044e-014, 48.277816600174, -53.917520329994,  8202758.382991296, -11255983.39374559,  15619991.26993687,  8202741.966997503,  -11255995.3568251,  15619991.26993687, 8.3561482644808e-005, 2000.0000099018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.43222, -0, -0, -0, 0, 0
0.02, -0.00034136192, -0.0037174738, 0, 0, -0.0195585973, -0.0195585973, -0.2129955592, 0, 0, -2.119671078304762,   36.9336514594245, 0.3910643819372903, -14.18248897324609,  900.2605221871238,  4.648038449858369, -2.116856301945821,  36.93365509795135, 0.3879767737586565, 5.079786248, 468598.2958, 67.3208463102, 1017.84051063,  67.31787642909703, 0.000147451122931205, 0.6323456170930015,  67.31787642909703, 0.000147451122931205, 0.6323456170930015,   790.843438548355,  639.2608282328918,  43.72132517693183,   67.3207563688128, 0.01243457081128718, -0.1093400053856044, 0.002241693847, 3.697149821e-007, 0.0001649266168, 511.53768, 2116.22, 1967.755852, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.9937062487, 1999.9937062487, -0.07629117856073094, 0.6312450065409831, 0.00974079553034944, 0.53818794363384, 0.00012549347626289, 48.277820293246, -53.917520329976,  8202774.203540166, -11255970.61358005,  15619992.16296319,  8202741.371572411, -11255994.53976129,  15619992.16296319, 0.00016712296528962, 1999.9937062487, 0, -0.0037174738, -0.0037174738, -0.0037174738, -0.00034136192, -0.00034136192, -0.00034136192, -0.00034136192, -0.00034136192, 0, 0, 0, 0.0048, -0.43222, -0, -0, -0, 452.337, 0.002
0.04, -0.00068272384, -0.0074349476, 0, 0, -0.0391171946, -0.0391171946, -0.4259911184, 0, 0, 0.01306682177508849,  40.03062977840752, 0.08159984215706703,  66.24038375867688,  403.3195502454051, -9.311049343061312, 0.01592962157713269,  40.03063504416123, 0.07855671005021561, 5.042106779, 466857.1676, 67.070698105, 1017.8241377,  67.04218404189523, -0.01367623719204788,  1.955483608414397,  67.04218404189523, -0.01367623719204788,  1.955483608414397,  790.7828018939678,  639.3438129585335,   43.2206473172789,  67.07049173000958, 0.00964944819767579, 0.1661031982175876, 0.002241694266, 3.697149947e-007, 0.0001649265916, 511.5377024, 2116.22, 1967.756306, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.9752348736, 1999.9752348736, -0.1143049472251785,  1.528851793513463, 0.0165935932331041, 1.670727196504, -0.011683055317655, 48.277823972178, -53.917520329944,  8202790.021573047, -11255957.82996146,  15619993.04347026,  8202740.773651176, -11255993.71926662,  15619993.04347026, 0.00025068444793442, 1999.9752348736, 0, -0.0074349476, -0.0074349476, -0.0074349476, -0.00068272384, -0.00068272384, -0.00068272384, -0.00068272384, -0.00068272384, 0, 0, 0, 0.0096, 0.00135011, -0, -0, -0.0044294, 473.883, 0.0040000000000000001
0.06, -0.00102408576, -0.0111524214, 0, 0, -0.05867579191, -0.05867579191, -0.6389866776, 0, 0, -0.1346826595420779,   30.0279824069284, -0.04651697677705374,  17.22635647059462, -198.9823895538854, -6.495128565197516, -0.1317759944310089,  30.02798660521216, -0.04951824047106741, 5.004880116, 465130.6156, 66.8226243772, 1017.8072219,  66.73403921989437, -0.02586263112585038,  3.439544909504004,  66.73403921989437, -0.02586263112585038,  3.439544909504004,  790.8250192283796,  639.2850439379711,  42.91809080272434,  66.81908074275717, -0.004349519052873199, 0.6881558233157965, 0.002241695494, 3.697150318e-007, 0.0001649265179, 511.5377683, 2116.22, 1967.757638, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.9465081617, 1999.9465081617, -0.09281183439455619,   2.36045148530451, 0.01366942278339146, 2.9504759643315, -0.022175418302105, 48.277827636987, -53.917520329904,  8202805.837835452, -11255945.04391505,  15619993.91288998,  8202740.173979319, -11255992.89636631,  15619993.91288998, 0.00033424593057923, 1999.9465081617, 0, -0.0111524214, -0.0111524214, -0.0111524214, -0.00102408576, -0.00102408576, -0.00102408576, -0.00102408576, -0.00102408576, 0, 0, 0, 0.0144, 0.00148179, -0, -0, -0.00486143, 504.647, 0.0060000000000000001
0.08, -0.00136544768, -0.0148698952, 0, 0, -0.07823438921, -0.07823438921, -0.8519822368, 0, 0, 0.4606026461131142,  11.86176119086835, -0.1964354800307144,  25.57455737788827, -671.8698816068014, -7.215937408416912, 0.4635354197419081,  11.86176571503935, -0.1994112357042576, 4.967243297, 463378.5435, 66.5708680071, 1017.78979445,  66.41356094617051, -0.02328406756697436,  4.573712663213556,  66.41356094617051, -0.02328406756697436,  4.573712663213556,  790.9925915444953,  639.0541622781525,  42.85514546980889,  66.55907239449859, -0.003102550115582829,  1.253131909346109, 0.002241697403, 3.697150896e-007, 0.0001649264031, 511.5378708, 2116.22, 1967.759708, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.9116036259, 1999.9116036259, -0.09710729903141435,  2.861003971069942, 0.01069986658543298, 3.9395768424001, -0.02003997947785, 48.277831287722, -53.917520329878,  8202821.653913663, -11255932.25762648,  15619994.77427736,  8202739.574143116, -11255992.07324603,  15619994.77427736, 0.00041780741322404, 1999.9116036259, 0, -0.0148698952, -0.0148698952, -0.0148698952, -0.00136544768, -0.00136544768, -0.00136544768, -0.00136544768, -0.00136544768, 0, 0, 0, 0.0192, 0.00168043, -0, -0, -0.00551311, 543.131, 0.0080000000000000002
0.1, -0.0017068096, -0.018587369, 0, 0, -0.09779298651, -0.09779298651, -1.064977796, 0, 0, 0.6245339736218778, -7.812667799804507, -0.2688464635704208,  13.98487482958777,  -879.770029712418, -4.849830172835455,  0.627469631929405, -7.812663784860281, -0.2718193742041543, 4.928575466, 461571.5707, 66.3112148114, 1017.77183627,  66.12264350748899, -0.02125233248887672,   4.99727662694756,  66.12264350748899, -0.02125233248887672,   4.99727662694756,  791.2683618583942,  638.6745914683665,  42.99600492643345,  66.29126650415761, -0.008096099072139439,  1.626385407668749, 0.002241699723, 3.697151597e-007, 0.0001649262637, 511.5379952, 2116.22, 1967.762223, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.8763710335, 1999.8763710335, -0.08221693835767249,  2.916575561963501, 0.005173151343536632, 4.3219625516615, -0.018362941784885, 48.277834924429, -53.917520329882,   8202837.47208977, -11255919.47423441,  15619995.63200973,  8202738.976424635, -11255991.25304448,  15619995.63200973, 0.00050136889586885, 1999.8763710335, 0, -0.018587369, -0.018587369, -0.018587369, -0.0017068096, -0.0017068096, -0.0017068096, -0.0017068096, -0.0017068096, 0, 0, 0, 0.024, 0.0019465, -0, -0, -0.00638605, 587.827, 0.01
0.12, -0.00204817152, -0.0223048428, 0, 0, -0.1173515838, -0.1173515838, -1.277973355, 0, 0, 0.8876566173380083,  -22.3877576297011, -0.3174065707775434,  13.44714897814171, -779.0935269682968, -3.155421702692869, 0.8905739036746644, -22.38775403948185, -0.3203975122672389, 4.888994342, 459714.5583, 66.0443726581, 1017.75355945,   65.8818452201301, -0.01354471024848005,   4.63049098261693,   65.8818452201301, -0.01354471024848005,   4.63049098261693,  791.6064955124392,  638.2092210732164,  43.24874766075863,  66.02302374771135, -0.008547066834513025,  1.679113446210083, 0.002241702065, 3.697152305e-007, 0.000164926123, 511.5381209, 2116.22, 1967.764762, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.8467608206, 1999.8467608206, -0.06835114692812803,  2.563574842005004,  359.9995432506755, 4.0204097356319, -0.011750505094848, 48.277838547077, -53.917520329925,  8202853.294699305, -11255906.69694688,  15619996.49052123,  8202738.383159356, -11255990.43896969,  15619996.49052123, 0.00058493037851366, 1999.8467608206, 0, -0.0223048428, -0.0223048428, -0.0223048428, -0.00204817152, -0.00204817152, -0.00204817152, -0.00204817152, -0.00204817152, 0, 0, 0, 0.0288, 0.00228006, -0, -0, -0.00748036, 637.408, 0.012
0.14, -0.00238953344, -0.0260223166, 0, 0, -0.1369101811, -0.1369101811, -1.490968914, 0, 0,  1.060303559030816, -27.78017372984801, -0.3239991342447738,  10.25920403019267, -439.4452184329199, -1.199253108432423,  1.063189707142257, -27.78017086370801, -0.3270201347940229, 4.848990879, 457830.0498, 65.7735897088, 1017.73549357,  65.67274146596276, -0.005426690681479184,  3.640893033414589,  65.67274146596276, -0.005426690681479184,  3.640893033414589,  791.9495995954669,  637.7373805404902,  43.50172446043649,  65.75908764490154, -0.01003205063536443,  1.381084593005685, 0.002241704033, 3.697152901e-007, 0.0001649260048, 511.5382265, 2116.22, 1967.766896, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.8270589635, 1999.8270589635, -0.04820863165586724,  1.970069462310787,  359.9933181821431, 3.1732263392027, -0.0047272237154902, 48.277842155495, -53.917520330018,  8202869.123447878, -11255893.92810875,  15619997.35296876,   8202737.79605284, -11255989.63336659,  15619997.35296876, 0.00066849186115846, 1999.8270589635, 0, -0.0260223166, -0.0260223166, -0.0260223166, -0.00238953344, -0.00238953344, -0.00238953344, -0.00238953344, -0.00238953344, 0, 0, 0, 0.0336, 0.0026809, -0, -0, -0.00879545, 690.795, 0.014000000000000002
0.16, -0.00273089536, -0.0297397904, 0, 0, -0.1564687784, -0.1564687784, -1.703964474, 0, 0,  1.249573856166802,  -23.2453786342484, -0.3255920052572883,  9.767782766611999,  4.677898094436449, -0.3037693319457722,  1.252427702905136, -23.24537665596901, -0.3286435390249218, 4.809002121, 455938.4047, 65.5017976035, 1017.71784403,  65.45878105069861, 0.003568613876802226,  2.373491080837805,  65.45878105069861, 0.003568613876802226,  2.373491080837805,   792.247252798463,  637.3283922577581,  43.66258025858524,  65.49668157731823, -0.01004613583274061,    0.8185906936061, 0.002241705342, 3.697153297e-007, 0.0001649259261, 511.5382967, 2116.22, 1967.768316, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.8188624606, 1999.8188624606, -0.02545132702372552,  1.360537958064413,  359.9871676526908, 2.0765964304127, 0.0031215404986508, 48.277845749391, -53.917520330157,   8202884.95900883, -11255881.16864273,  15619998.22047348,  8202737.215778375, -11255988.83715793,  15619998.22047348, 0.00075205334380327, 1999.8188624606, 0, -0.0297397904, -0.0297397904, -0.0297397904, -0.00273089536, -0.00273089536, -0.00273089536, -0.00273089536, -0.00273089536, 0, 0, 0, 0.0384, 0.00314881, -0, -0, -0.0103305, 747.156, 0.016
0.18, -0.00307225728, -0.0334572642, 0, 0, -0.1760273757, -0.1760273757, -1.916960033, 0, 0,   1.42522087143147, -11.22819197374079, -0.3394352447770165,   9.14857079029599,  402.1323303290857, -0.4259192490656922,  1.428052295835901, -11.22819110843838, -0.3425075954320915, 4.769315546, 454053.2128, 65.2309510071, 1017.70074511,  65.21967104699732, 0.01181509733680483,  1.212987311577656,  65.21967104699732, 0.01181509733680483,  1.212987311577656,  792.4709149539499,  637.0214750799524,  43.68404550640359,  65.23079617071721, -0.0101539902686639, 0.1417643253321343, 0.002241705887, 3.697153461e-007, 0.0001649258934, 511.538326, 2116.22, 1967.768906, 0,                  0,                  0,                  0,                  0,                  0,                  0, 1999.8210235797, 1999.8210235797, 0.001305307203089969, 0.9409731270041699,  359.9807276203436, 1.0654920635907, 0.010377822263587, 48.277849328509, -53.917520330324,  8202900.800977354, -11255868.41798501,  15619999.09211653,  8202736.641931124, -11255988.04977989,  15619999.09211653, 0.00083561482644808, 1999.8210235797, 0, -0.0334572642, -0.0334572642, -0.0334572642, -0.00307225728, -0.00307225728, -0.00307225728, -0.00307225728, -0.00307225728, 0, 0, 0, 0.0432, 0.00368358, -0, -0, -0.012085, 805.857, 0.017999999999999999
